"","x"
"1","GCST90027271"
"2","GCST008414"
"3","GCST90011734"
"4","GCST90011735"
"5","GCST90011736"
"6","GCST90061435"
"7","GCST005362"
"8","GCST012597"
"9","GCST007543"
"10","GCST010291"
"11","GCST010289"
"12","GCST010220"
"13","GCST010219"
"14","GCST012093"
"15","GCST010649"
"16","GCST010644"
"17","GCST000281"
"18","GCST000246"
"19","GCST001944"
"20","GCST001287"
"21","GCST90137499"
"22","GCST90137501"
"23","GCST004001"
"24","GCST012098"
"25","GCST008919"
"26","GCST006983"
"27","GCST007591"
"28","GCST007586"
"29","GCST007582"
"30","GCST007588"
"31","GCST000253"
"32","GCST90133365"
"33","GCST90016595"
"34","GCST90016604"
"35","GCST90016612"
"36","GCST90016618"
"37","GCST90271340"
"38","GCST90271328"
"39","GCST90134330"
"40","GCST012088"
"41","GCST001877"
"42","GCST009600"
