DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-07-21	32239439	Barr PB	2020-04-01	Behav Genet	www.ncbi.nlm.nih.gov/pubmed/32239439	A Family-Based Genome Wide Association Study of Externalizing Behaviors.	Externalizing behaviour score	7,568 European ancestry individuals, 3,274 African ancestry individuals, 4,270 European and African ancestry individuals	NA	15q21.3	15	57647349	NR	GCOM1, MYZAP			ENSG00000137878, ENSG00000263155			rs2433198-?	rs2433198	0	2433198	3_prime_UTR_variant	0	NR	4E-6	5.3979400086720375		4.594	NR z score decrease	Affymetrix, Illumina [up to 15537641] (imputed)	N	substance abuse, antisocial behaviour measurement	http://purl.obolibrary.org/obo/MONDO_0002491, http://www.ebi.ac.uk/efo/EFO_0007052	GCST010280	Genome-wide genotyping array
2020-07-21	32239439	Barr PB	2020-04-01	Behav Genet	www.ncbi.nlm.nih.gov/pubmed/32239439	A Family-Based Genome Wide Association Study of Externalizing Behaviors.	Externalizing behaviour score	7,568 European ancestry individuals, 3,274 African ancestry individuals, 4,270 European and African ancestry individuals	NA	6p21.2	6	36681816	NR	CDKN1A			ENSG00000124762			rs2376620-?	rs2376620	0	2376620	intron_variant	0	NR	4E-6	5.3979400086720375		4.592	NR z score decrease	Affymetrix, Illumina [up to 15537641] (imputed)	N	substance abuse, antisocial behaviour measurement	http://purl.obolibrary.org/obo/MONDO_0002491, http://www.ebi.ac.uk/efo/EFO_0007052	GCST010280	Genome-wide genotyping array
2020-07-21	32239439	Barr PB	2020-04-01	Behav Genet	www.ncbi.nlm.nih.gov/pubmed/32239439	A Family-Based Genome Wide Association Study of Externalizing Behaviors.	Externalizing behaviour score	7,568 European ancestry individuals, 3,274 African ancestry individuals, 4,270 European and African ancestry individuals	NA	15q21.3	15	57579603	NR	CGNL1 - MYZAP	ENSG00000128849	ENSG00000263155		28886	12301	rs2932207-?	rs2932207	0	2932207	regulatory_region_variant	1	NR	5E-8	7.301029995663981		5.449	NR z score decrease	Affymetrix, Illumina [up to 15537641] (imputed)	N	substance abuse, antisocial behaviour measurement	http://purl.obolibrary.org/obo/MONDO_0002491, http://www.ebi.ac.uk/efo/EFO_0007052	GCST010280	Genome-wide genotyping array
2020-07-21	32239439	Barr PB	2020-04-01	Behav Genet	www.ncbi.nlm.nih.gov/pubmed/32239439	A Family-Based Genome Wide Association Study of Externalizing Behaviors.	Externalizing behaviour score	7,568 European ancestry individuals, 3,274 African ancestry individuals, 4,270 European and African ancestry individuals	NA	8p22	8	16935642	NR	RN7SL474P - FGF20	ENSG00000264092	ENSG00000078579		72146	56539	rs146787096-?	rs146787096	0	146787096	intergenic_variant	1	NR	8E-8	7.096910013008056		5.374	NR z score decrease	Affymetrix, Illumina [up to 15537641] (imputed)	N	substance abuse, antisocial behaviour measurement	http://purl.obolibrary.org/obo/MONDO_0002491, http://www.ebi.ac.uk/efo/EFO_0007052	GCST010280	Genome-wide genotyping array
2020-07-21	32239439	Barr PB	2020-04-01	Behav Genet	www.ncbi.nlm.nih.gov/pubmed/32239439	A Family-Based Genome Wide Association Study of Externalizing Behaviors.	Externalizing behaviour score	7,568 European ancestry individuals, 3,274 African ancestry individuals, 4,270 European and African ancestry individuals	NA	15q24.3	15	76481489	NR	SCAPER			ENSG00000140386			rs113552766-?	rs113552766	0	113552766	intron_variant	0	NR	3E-7	6.522878745280337		5.136	NR z score decrease	Affymetrix, Illumina [up to 15537641] (imputed)	N	substance abuse, antisocial behaviour measurement	http://purl.obolibrary.org/obo/MONDO_0002491, http://www.ebi.ac.uk/efo/EFO_0007052	GCST010280	Genome-wide genotyping array
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Risky substance use	1,165 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	6p25.3	6	1019127		LINC01622			ENSG00000286785			rs845885-G	rs845885	0	845885	intron_variant	0	0.3186	2E-6	5.698970004336019		1.36	[1.2-1.55]	Illumina [248101]	N	substance abuse	http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027269	Genome-wide genotyping array
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Psychiatric symptomatology and risky substance use	604 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	1p22.2	1	91478580		HFM1 - CDC7	ENSG00000162669	ENSG00000097046		73724	22271	rs12747494-C	rs12747494	0	12747494	intergenic_variant	1	0.191	1E-6	6.0		1.56	[1.3-1.86]	Illumina [248101]	N	mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027271	Genome-wide genotyping array
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Psychiatric symptomatology and risky substance use	604 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	10q26.3	10	129726753		MGMT			ENSG00000170430			rs7078706-T	rs7078706	0	7078706	intron_variant	0	0.2103	2E-6	5.698970004336019		1.51	[1.27-1.78]	Illumina [248101]	N	mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027271	Genome-wide genotyping array
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Psychiatric symptomatology and risky substance use	604 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	11p14.3	11	24678999		LUZP2			ENSG00000187398			rs7118149-A	rs7118149	0	7118149	intron_variant	0	0.3776	9E-6	5.045757490560675		1.41	[1.21-1.65]	Illumina [248101]	N	mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027271	Genome-wide genotyping array
2021-09-10	33762635	Martinez-Magana JJ	2021-03-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/33762635	Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.	Psychiatric symptomatology and risky substance use	604 Mexican ancestry cases, 1,487 Mexican ancestry controls	NA	12q23.3	12	107694127		PWP1			ENSG00000136045			rs10778569-G	rs10778569	0	10778569	intron_variant	0	0.3315	5E-6	5.301029995663981		0.68	[0.57-0.81]	Illumina [248101]	N	mental or behavioural disorder, substance abuse	http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002491	GCST90027271	Genome-wide genotyping array
