riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs17232800-?	3E-6	-	NR	-	-	-	TMX3,MTL3P	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST002048	18:68625022	23728934	"Yang L"
rs6453417-?	5E-6	-	NR	-	-	-	ARSB	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST002048	5:78814709	23728934	"Yang L"
rs4245040-?	7E-6	-	NR	-	-	-	GRIK4	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST002048	11:120649920	23728934	"Yang L"
rs16828074-?	6E-9	-	NR	-	-	-	NCL	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST002048	2:231454043	23728934	"Yang L"
rs9627183-C	3E-6	" "	0.03	-	-	-	-	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000235	22:47888765	18821564	"Mick E"
rs11134178-T	3E-6	" "	0.05	-	-	-	LINC02236,LINC02196	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000235	5:6834054	18821564	"Mick E"
rs7463256-T	3E-6	-	NR	-	-	-	CHMP7	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000751	8:23244107	20732625	"Neale BM"
rs1027730-A	7E-6	-	NR	-	-	-	MIR8084,C8orf87	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000751	8:93073310	20732625	"Neale BM"
rs1464807-T	1E-6	-	NR	-	-	-	SEM1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000751	7:96733032	20732625	"Neale BM"
rs12680109-T	7E-6	-	NR	-	-	-	RN7SL675P,Metazoa_SRP	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000751	8:69897026	20732625	"Neale BM"
rs10485813-A	8E-6	-	NR	-	-	-	RPL36P1,TSHZ2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST000751	20:52967444	20732625	"Neale BM"
rs3047819-T	2E-8	(males)	NR	-	"0.097 unit decrease"	[0.064-0.13]	MEF2C	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	5:88879383	29325848	"Martin J"
rs8039398-T	3E-8	(males)	NR	-	"0.094 unit decrease"	[0.061-0.127]	SEMA6D	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	15:47438673	29325848	"Martin J"
rs200508662-T	3E-8	(males)	NR	-	"0.131 unit increase"	[0.084-0.178]	-	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	5:121055487	29325848	"Martin J"
rs145108385-A	2E-7	(males)	NR	-	"0.098 unit increase"	[0.061-0.135]	ANXA2R,ZNF131	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	5:43054645	29325848	"Martin J"
rs112984125-A	2E-7	(males)	NR	-	"0.097 unit decrease"	[0.06-0.134]	ST3GAL3,KDM4A-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	1:43707752	29325848	"Martin J"
rs142458453-T	5E-7	(males)	NR	-	"0.104 unit increase"	[0.063-0.145]	LINC02387,DENND5B	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	12:31377392	29325848	"Martin J"
rs56135409-A	6E-7	(males)	NR	-	"0.087 unit decrease"	[0.054-0.12]	SGO1-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	3:20683524	29325848	"Martin J"
rs11317767-G	6E-7	(males)	NR	-	"0.087 unit increase"	[0.054-0.12]	SPDYE4,MFSD6L	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	17:8770824	29325848	"Martin J"
rs9746958-A	7E-7	(males)	NR	-	"0.311 unit increase"	[0.19-0.43]	GNPATP	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	16:60584735	29325848	"Martin J"
rs74129883-A	7E-7	(males)	NR	-	"0.218 unit decrease"	[0.13-0.3]	ANXA8,ZNF488	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST005362	10:47411236	29325848	"Martin J"
rs7181782-C	9E-8	(females)	NR	-	"0.17 unit decrease"	[0.11-0.23]	LINC00927,ARNT2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	15:80394651	29325848	"Martin J"
rs4984687-T	2E-7	(females)	NR	-	"0.168 unit decrease"	[0.11-0.23]	FBXL16	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	16:704314	29325848	"Martin J"
rs28600876-C	7E-7	(females)	NR	-	"0.134 unit increase"	[0.081-0.187]	FGF3,ANO1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	11:69890712	29325848	"Martin J"
rs114247285-A	8E-7	(females)	NR	-	"0.339 unit increase"	[0.2-0.47]	SAP18P1,BIN2P2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	5:76044157	29325848	"Martin J"
rs9941217-C	9E-7	(females)	NR	-	"0.128 unit increase"	[0.077-0.179]	RPL7P47,NPIPA8	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	16:17957069	29325848	"Martin J"
rs142295881-A	1E-6	(females)	NR	-	"0.465 unit decrease"	[0.28-0.65]	MLIP,MLIP-AS1	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	6:54034290	29325848	"Martin J"
rs79891548-T	1E-6	(females)	NR	-	"0.216 unit decrease"	[0.13-0.3]	CSRNP3	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	2:165481308	29325848	"Martin J"
rs150844750-T	2E-6	(females)	NR	-	"0.25 unit decrease"	[0.15-0.35]	RANBP2	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	2:108742827	29325848	"Martin J"
rs71450738-T	2E-6	(females)	NR	-	"0.118 unit decrease"	[0.069-0.167]	SOX5	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	12:24045898	29325848	"Martin J"
rs770082-A	2E-6	(females)	NR	-	"0.12 unit increase"	[0.071-0.169]	DUSP6,POC1B	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST012597	12:89382708	29325848	"Martin J"
rs9677504-G	9E-7	-	NR	1.066098	-	NR	SPAG16	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	2:214317165	30478444	"Demontis D"
rs11591402-T	4E-9	-	NR	1.0471205	-	NR	SORCS3	"Attention deficit hyperactivity disorder"	"attention deficit hyperactivity disorder"	-	GCST007543	10:104987596	30478444	"Demontis D"
